data_venda,produto,preco,quantidade
2025-01-01,Mouse Gamer,120.00,3
2025-01-01,Teclado Mecânico,350.00,1
2025-01-01,Monitor 24,850.00,1
2025-01-02,Headset Gamer,250.00,2
2025-01-02,Mousepad XXL,90.00,1
2025-01-02,Cadeira Gamer,1500.00,1
2025-01-03,Mouse Gamer,120.00,1
2025-01-03,Teclado Membrana,80.00,2
2025-01-03,Webcam HD,200.00,1
2025-01-04,Notebook 15,3800.00,1
2025-01-04,Monitor 27,1300.00,2
2025-01-04,Suporte de Monitor,150.00,1
2025-01-05,Mouse Gamer,120.00,4
2025-01-05,Teclado Mecânico,350.00,2
2025-01-05,Monitor 24,850.00,1
2025-01-06,Mouse Gamer,120.00,2
2025-01-06,Cadeira Gamer,1500.00,1
2025-01-06,Mousepad XXL,90.00,3
2025-01-07,Webcam HD,200.00,2
2025-01-07,Teclado Membrana,80.00,1
2025-01-07,Headset Gamer,250.00,1
